title,plot_des,release_year,runtime,budget,box_office_gross,studio,mpaa_rating,theater_release_date,directors,casts,genre,award,is_holiday,success
MACBETH,"Macbeth, the Thane of Glamis, receives a prophecy from a trio of witches that one day he will become King of Scotland. Consumed by ambition and spurred to action by his wife, Macbeth murders his king and takes the throne for himself.",2015,113,16379268,17822900,SeeSaw Films,R,2015-12-11,['Justin Kurzel'],"['Michael Fassbender', 'Marion Cotillard', 'Jack Madigan', 'Frank Madigan']","['Drama', 'History', 'War']",0,False,True
THE SPACE BETWEEN US,"The first human born on Mars travels to Earth for the first time, experiencing the wonders of the planet through fresh eyes. He embarks on an adventure with a street-smart girl to discover how he came to be.",2017,120,31675628,16978638,Los Angeles Media Fund LAMF,PG-13,2017-02-03,['Peter Chelsom'],"['Gary Oldman', 'Asa Butterfield', 'Carla Gugino', 'Britt Robertson']","['Drama', 'Romance', 'Sci-Fi']",0,False,False
RIP TIDE,"Following an embarrassing viral video, a New York model decides to escape from her suffocating existence by visiting her faraway aunt in Australia.",2017,85,3589904,207424,The Steve Jaggi Company,Unrated,2017-10-03,['Rhiannon Bannenberg'],"['Debby Ryan', 'Genevieve Hegney', 'Andrew Creer', 'Naomi Sequeira']","['Drama', 'Family']",0,False,False
THE BOUNCER,"A nightclub bouncer in his fifties who's taken punches, literally and figuratively, struggles to raise his 8-year-old daughter.",2018,94,6184080,546771,Labyrinthe Films,R,2018-08-22,['Julien Leclercq'],"['Jean-Claude Van Damme', 'Sami Bouajila', 'Sveva Alviti', 'Sam Louwyck']","['Action', 'Drama', 'Thriller']",0,False,False
THE MULE,A ninety-year-old horticulturist and Korean War veteran turns drug mule for a Mexican cartel.,2018,116,51534007,180167432,Warner Bros,R,2018-12-14,['Clint Eastwood'],"['Clint Eastwood', 'Patrick L. Reyes', 'Cesar De León', 'Gustavo Muñoz']","['Crime', 'Drama', 'Thriller']",1,False,True
UNPLANNED,"All Abby Johnson ever wanted to do was help women. As one of the youngest Planned Parenthood clinic directors in the nation, she believed in a woman's right to choose. Until the day she saw something that changed everything.",2019,109,6074021,21613319,Unplanned Movie,R,2019-03-29,"['Chuck Konzelman', 'Cary Solomon']","['Ashley Bratcher', 'Brooks Ryan', 'Robia Scott', 'Jared Lotz']","['Biography', 'Drama']",0,False,True
CUJO,"Cujo, a friendly St. Bernard, contracts rabies and conducts a reign of terror on a small American town.",1983,93,12992520,54974345,Sunn Classic Pictures,R,1983-08-12,['Lewis Teague'],"['Dee Wallace', 'Daniel Hugh Kelly', 'Danny Pintauro', 'Christopher Stone']","['Horror', 'Thriller']",0,False,True
TERMS OF ENDEARMENT,"Follows hard-to-please Aurora looking for love, and her daughter's family problems.",1983,132,20788032,281739547,Paramount Pictures,PG,1983-12-09,['James L. Brooks'],"['Shirley MacLaine', 'Debra Winger', 'Jack Nicholson', 'Danny DeVito']","['Comedy', 'Drama']",1,False,True
BEST DEFENSE,"A military weapons engineer struggles to do his job responsibly, while a hapless tank commander has to live with the consequences in combat years later.",1984,94,44837324,47989144,Cinema Group Ventures,R,1984-07-20,['Willard Huyck'],"['Dudley Moore', 'Eddie Murphy', 'Kate Capshaw', 'George Dzundza']","['Comedy', 'War']",0,False,True
SMOOTH TALK,A free-spirited 15-year-old girl flirts with a dangerous stranger in the Northern California suburbs and must prepare herself for the frightening and traumatic consequences.,1985,92,5772736,40373,American Playhouse,PG-13,1985-11-17,['Joyce Chopra'],"['Treat Williams', 'Laura Dern', 'Mary Kay Place', 'Margaret Welsh']","['Drama', 'Romance', 'Thriller']",0,False,False
WHITE NIGHTS,"A Russian American ballet dancer's airplane is forced to land in USSR, where he's ""repatriated"". He stays with an American man married to a Russian. Will the American help him flee USSR?",1985,136,48106133,101409772,Columbia Pictures,PG-13,1985-12-06,['Taylor Hackford'],"['Mikhail Baryshnikov', 'Gregory Hines', 'Jerzy Skolimowski', 'Helen Mirren']","['Drama', 'Music']",0,False,True
THE BEDROOM WINDOW,A young executive starts an affair with his boss's wife which then escalates into a nightmare after he lies to the police in order to protect her.,1987,112,18909606,28798157,De Laurentiis Entertainment Group DEG,R,1987-01-16,['Curtis Hanson'],"['Steve Guttenberg', 'Elizabeth McGovern', 'Isabelle Huppert', 'Paul Shenar']","['Crime', 'Mystery', 'Thriller']",0,False,True
ILLEGALLY YOURS,A college dropout called for jury duty tries to prove his childhood crush innocent.,1988,102,28440769,566669,Crescent Moon,PG,1988-05-13,['Peter Bogdanovich'],"['Rob Lowe', 'Colleen Camp', 'Kenneth Mars', 'Kim Myers']","['Comedy', 'Crime']",0,False,False
THE WAR OF THE ROSES,A married couple try everything to get each other to leave the house in a vicious divorce battle.,1989,116,54266822,334343207,Twentieth Century Fox,R,1989-12-08,['Danny DeVito'],"['Michael Douglas', 'Kathleen Turner', 'Danny DeVito', 'Marianne Sägebrecht']","['Comedy', 'Romance']",1,False,True
DROP DEAD FRED,A young woman finds her already unstable life rocked by the presence of a rambunctious imaginary friend from childhood.,1991,103,12898744,26372139,PolyGram Filmed Entertainment,PG-13,1991-05-24,['Ate de Jong'],"['Phoebe Cates', 'Rik Mayall', 'Marsha Mason', 'Tim Matheson']","['Comedy', 'Drama', 'Fantasy']",0,False,True
IN THE NAME OF THE FATHER,A man's coerced confession to an I.R.A. bombing he did not commit results in the imprisonment of his father as well. An English lawyer fights to free them.,1993,133,23284034,117847416,Hells Kitchen Films,R,1994-02-25,['Jim Sheridan'],"['Daniel Day-Lewis', 'Pete Postlethwaite', 'Alison Crosbie', 'Philip King']","['Biography', 'Crime', 'Drama']",1,False,True
CASPER,An afterlife therapist and his daughter meet a friendly young ghost when they move into a crumbling mansion in order to rid the premises of wicked spirits.,1995,100,84911745,488969710,Universal Pictures,PG,1995-05-26,['Brad Silberling'],"['Bill Pullman', 'Christina Ricci', 'Cathy Moriarty', 'Eric Idle']","['Comedy', 'Family', 'Fantasy']",0,False,True
POCAHONTAS,An English soldier and the daughter of an Algonquin chief share a romance when English colonists invade seventeenth century Virginia.,1995,81,93402919,587724751,Walt Disney Pictures,G,1995-06-23,"['Mike Gabriel', 'Eric Goldberg']","['Mel Gibson', 'Linda Hunt', 'Christian Bale', 'Joe Baker']","['Animation', 'Adventure', 'Drama', 'Family', 'Musical', 'Romance']",0,False,True
AFFLICTION,A deeply troubled small-town cop investigates a suspicious hunting death while other events jeopardize his sanity.,1997,114,9675177,10207399,JVC Entertainment Networks,R,1999-02-19,['Paul Schrader'],"['Nick Nolte', 'Sissy Spacek', 'James Coburn', 'Brigid Tierney']","['Drama', 'Mystery', 'Thriller']",0,False,True
WAKING NED DEVINE,"When a lottery winner dies of shock, his fellow townsfolk attempt to claim the money.",1998,91,4763392,87737643,Tomboy Films,PG,1999-01-08,['Kirk Jones'],"['Ian Bannen', 'David Kelly', 'Fionnula Flanagan', 'Susan Lynch']",['Comedy'],0,False,True
MULHOLLAND DR,"After a car wreck on the winding Mulholland Drive renders a woman amnesiac, she and a perky Hollywood-hopeful search for clues and answers across Los Angeles in a twisting venture beyond dreams and reality.",2001,147,21920750,29609312,Les Films Alain Sarde,R,2001-10-19,['David Lynch'],"['Naomi Watts', 'Laura Harring', 'Justin Theroux', 'Jeanne Bates']","['Drama', 'Mystery', 'Thriller']",0,False,True
TAXI 2,"Police inspector Emilien and his taxi-driver pal Daniel are back, this time on the tail of a group of Japanese yakuza.",2000,88,105207723,91269449,ARP Slection,Unrated,2000-10-06,['Gérard Krawczyk'],"['Samy Naceri', 'Frédéric Diefenthal', 'Emma Wiklund', 'Marion Cotillard']","['Action', 'Comedy', 'Crime']",0,False,False
FEBRUARY 15 1839,French Canadians face execution after a revolt against British bureaucrats in Quebec.,2001,120,4530288,63709,Association Cooprative des Productions AudioVisuelles ACPAV,,2001-01-26,['Pierre Falardeau'],"['Luc Picard', 'Sylvie Drapeau', 'Frédéric Gilles', 'Pierre Rivard']","['Drama', 'History']",0,False,False
ORANGE COUNTY,A guidance counselor mistakenly sends out the wrong transcripts to Stanford University under the name of an over-achieving high schooler.,2002,82,25895486,62329010,Paramount Pictures,PG-13,2002-01-11,['Jake Kasdan'],"['Colin Hanks', 'Jack Black', 'Schuyler Fisk', 'Bret Harrison']","['Comedy', 'Drama']",0,False,True
HALF PAST DEAD,This movie tells the story of a man who goes undercover in a hi-tech prison to find out information to help prosecute those who killed his wife. While there he stumbles onto a plot involving a death-row inmate and his $200 million stash of gold.,2002,98,18702295,27669730,Screen Gems,PG-13,2002-11-15,['Don Michael Paul'],"['Morris Chestnut', 'Steven Seagal', 'Matt Battaglia', 'Ja Rule']","['Action', 'Crime', 'Thriller']",0,False,True
SWORD OF XANTEN,"The legend of Siegfried and Brunhild, loosely based on characters from the Norse sagas and the pre-Christian Germanic heroic motifs outlined in the Nibelungensaga.",2004,184,31512191,232606,Tandem Communications,PG-13,2005-12-23,['Uli Edel'],"['Benno Fürmann', 'Kristanna Loken', 'Alicia Witt', 'Julian Sands']","['Action', 'Adventure', 'Drama', 'Fantasy']",0,False,False
HOUSE OF WAX,A group of teens are unwittingly stranded near a strange wax museum and soon must fight to survive and keep from becoming the next exhibit.,2005,113,53007885,91128666,Warner Bros,R,2005-05-06,['Jaume Collet-Serra'],"['Chad Michael Murray', 'Paris Hilton', 'Elisha Cuthbert', 'Brian Van Holt']","['Horror', 'Thriller']",0,False,True
POSEIDON,"On New Year's Eve, the luxury ocean liner Poseidon capsizes after being swamped by a rogue wave. The survivors are left to fight for their lives as they attempt to escape the sinking ship.",2006,98,205405555,233231354,Warner Bros,PG-13,2006-05-12,['Wolfgang Petersen'],"['Richard Dreyfuss', 'Kurt Russell', 'Emmy Rossum', 'Josh Lucas']","['Action', 'Adventure', 'Thriller']",1,False,True
THE KITE RUNNER,"After spending years in California, Amir returns to his homeland in Afghanistan to help his old friend Hassan, whose son is in trouble.",2007,128,24964647,93631195,Dreamworks Pictures,PG-13,2008-01-11,['Marc Forster'],"['Khalid Abdalla', 'Ahmad Khan Mahmoodzada', 'Atossa Leoni', 'Shaun Toub']",['Drama'],0,False,True
THE PROPOSITION,"A lawman apprehends a notorious outlaw and gives him nine days to kill his older brother, or else they'll execute his younger brother.",2005,104,26503942,6690513,UK Film Council,R,2006-06-09,['John Hillcoat'],"['Ray Winstone', 'Guy Pearce', 'Emily Watson', 'Richard Wilson']","['Crime', 'Drama', 'Western']",0,False,False
SWING GIRLS,"A tale of delinquent and lazy school girls. In their efforts to cut remedial summer math class, they end up vitiating and replacing the schools brass band.",2004,105,685047644,25701087,Altamira Pictures Inc,,2004-09-11,['Shinobu Yaguchi'],"['Juri Ueno', 'Yûta Hiraoka', 'Shihori Kanjiya', 'Yuika Motokariya']","['Drama', 'Comedy', 'Music']",0,False,False
SCOTT PILGRIM VS THE WORLD,"In a magically realistic version of Toronto, a young man must defeat his new girlfriend's seven evil exes one by one in order to win her heart.",2010,112,71214091,58060818,Universal Pictures,PG-13,2010-08-13,['Edgar Wright'],"['Michael Cera', 'Mary Elizabeth Winstead', 'Kieran Culkin', 'Anna Kendrick']","['Action', 'Comedy', 'Fantasy', 'Romance']",0,False,False
TURISTAS,A group of young backpackers' vacation turns sour when a bus accident leaves them marooned in a remote Brazilian rural area that holds an ominous secret.,2006,93,12837847,18944185,Fox Atomic,R,2006-12-01,['John Stockwell'],"['Josh Duhamel', 'Melissa George', 'Olivia Wilde', 'Desmond Askew']","['Horror', 'Mystery', 'Thriller']",0,False,True
MAN OF THE YEAR,"A comedian who hosts a news satire program decides to run for president, and a computerized voting machine malfunction gets him elected.",2006,115,25675694,54525510,Universal Pictures,PG-13,2006-10-13,['Barry Levinson'],"['Robin Williams', 'Laura Linney', 'Lewis Black', 'Christopher Walken']","['Comedy', 'Drama', 'Romance', 'Thriller']",1,False,True
THE ALPHABET KILLER,"Based on the true story of the double initial killings in Rochester, NY.",2008,98,2404156,128136,Intrinsic Value Films,R,2009-12-10,['Rob Schmidt'],"['Eliza Dushku', 'Cary Elwes', 'Timothy Hutton', 'Tom Malloy']","['Crime', 'Mystery', 'Thriller']",0,False,False
HIS MAJESTY MINOR,Described as a mythical comedy set on an island in the Aegean Sea before the founding of Ancient Greece.,2007,101,37946264,2859082,Reperage,,2007-10-10,['Jean-Jacques Annaud'],"['José Garcia', 'Vincent Cassel', 'Sergio Peris-Mencheta', 'Mélanie Bernier']","['Comedy', 'Fantasy']",0,False,False
THE LAST AIRBENDER,"Follows the adventures of Aang, a young successor to a long line of Avatars, who must master all four elements and stop the Fire Nation from enslaving the Water Tribes and the Earth Kingdom.",2010,103,178035229,379468894,Paramount Pictures,PG,2010-07-01,['M. Night Shyamalan'],"['Noah Ringer', 'Nicola Peltz', 'Jackson Rathbone', 'Dev Patel']","['Action', 'Adventure', 'Family', 'Fantasy']",0,False,True
THE MAN WITH THE IRON FISTS,"On the hunt for a fabled treasure of gold, a band of warriors, assassins, and a rogue British soldier descend upon a village in feudal China, where a humble blacksmith looks to defend himself and his fellow villagers.",2012,95,16908826,23161166,Arcade Pictures,R,2012-11-02,['RZA'],"['Russell Crowe', 'Cung Le', 'Lucy Liu', 'RZA']",['Action'],1,False,True
THE MAN WHO KILLED DON QUIXOTE,"Toby, a disillusioned film director, is pulled into a world of time-jumping fantasy when a Spanish cobbler believes himself to be Sancho Panza. He gradually becomes unable to tell dreams from reality.",2018,132,17521562,2463720,Alacran Pictures,Unrated,2018-05-19,['Terry Gilliam'],"['José Luis Ferrer', 'Ismael Fritschi', 'Juan López-Tagle', 'Adam Driver']","['Adventure', 'Comedy', 'Drama', 'Fantasy']",0,False,False
PARADISE LOVE,"Teresa, a fifty-year-old Austrian mother, travels to the paradise of the beaches of Kenya, seeking out love from African boys. But she must confront the hard truth that on the beaches of Kenya, love is a business.",2012,120,4058118,1926519,Ulrich Seidl Film Produktion GmbH,Unrated,2013-04-26,['Ulrich Seidl'],"['Margarete Tiesel', 'Peter Kazungu', 'Inge Maux', 'Dunja Sowinetz']",['Drama'],0,False,False
ZINDAGI NA MILEGI DOBARA,Three friends decide to turn their fantasy vacation into reality after one of their friends gets engaged.,2011,155,632820675,5974682,Eros International,Unrated,2012-10-19,['Zoya Akhtar'],"['Hrithik Roshan', 'Farhan Akhtar', 'Abhay Deol', 'Katrina Kaif']","['Comedy', 'Drama']",0,False,False
WEEKEND,"After a drunken house party with his straight mates, Russell heads out to a gay club. Just before closing time he picks up Glen but what's expected to be just a one-night stand becomes something else, something special.",2011,97,138069,1371498,EM Media,Unrated,2011-11-04,['Andrew Haigh'],"['Tom Cullen', 'Chris New', 'Jonathan Race', 'Laura Freeman']","['Drama', 'Romance']",0,False,True
CONQUEST 1453,"After the death of his father Murat II, Mehmet II ascends to the Ottoman throne. After braving internal and external enemies, he decides to complete what he was destined to do - conquer Constantinople.",2012,162,20,40352400,Aksoy Film,Unrated,2012-04-25,['Faruk Aksoy'],"['Devrim Evin', 'Ibrahim Celikkol', 'Dilek Serbest', 'Cengiz Coskun']","['Action', 'Drama', 'History', 'War']",0,False,True
YOU  ME FOREVER,"Laura and Christine have been friends forever. One day they meet the mysterious and fascinating Maria, and their friendship is put to the test. For Laura it is a meeting that changes the world she thought she knew so well.",2012,82,3494490,531116,Nimbus Film Productions,,2012-09-13,['Kaspar Munk'],"['Julie Brochorst Andersen', 'Frederikke Dahl Hansen', 'Emilie Kruse', 'Benjamin Wandschneider']","['Drama', 'Romance']",0,False,False
VICTOR FRANKENSTEIN,"Told from Igor's perspective, we see the troubled young assistant's dark origins, his redemptive friendship with the young medical student Viktor Von Frankenstein, and become eyewitnesses to the emergence of how Frankenstein became the man - and the legend - we know today.",2015,110,70976828,37374539,Davis Entertainment,PG-13,2015-11-25,['Paul McGuigan'],"['Daniel Radcliffe', 'James McAvoy', 'Jessica Brown Findlay', 'Andrew Scott']","['Drama', 'Horror', 'Sci-Fi', 'Thriller']",0,False,False
